,qname,seqLength,sampleQnamesChr,subTeloAlignLength,teloBPLengths
148,84e989b8-4996-4ae3-87bb-a02ab9aacaf7,1421,chr19:q-arm,73,155
150,34cdaf68-e230-4a91-9396-b9957a3e4637,4261,chr22:p-arm,597,3214
151,d636897e-7ea6-4dc1-8bb8-894c53829fef,18195,chr13:p-arm,6266,3928
152,f0129856-8077-4231-a0a8-a58bb3aadd43,7111,chr20:q-arm,504,5493
153,dfb0545f-2860-497f-b02b-55c1f26a2436,1611,chr19:q-arm,83,303
154,f0ba5ae8-61d0-4d27-a81b-d7d96be41191,15464,chr7:p-arm,3827,9393
156,55b66a6d-fb8c-4091-b5cf-2e776c91d3f1,8880,chr3:q-arm,1107,7013
157,3fbaab27-2f69-4406-ae4a-e069c71556f2,13882,chr13:q-arm,9987,1927
158,aefbf18c-d773-44a3-9b37-58965399597c,4725,chrX:p-arm,67,4564
160,bc04d8ce-d8cf-447d-91f4-9ac894379fbc,22255,chr19:q-arm,12899,6800
161,9c061860-96df-46c6-aa23-9d0006789003,33575,chr4:p-arm,19496,10081
162,ca7f1893-40f0-4865-b188-edbccc6400e5,30608,chr2:q-arm,19665,6933
163,9c403a20-49ed-42db-a1d5-a2d7dc87223e,12874,chr13:q-arm,3942,7765
164,a893a2e3-2e0b-43c8-beda-4d2c456af135,5532,chr11:q-arm,81,5369
165,5ff38a54-e4ed-4b02-8e37-64f3bb16ac48,7228,chr12:p-arm,1759,5009
166,35130272-7047-4105-a914-4a5836c1a8d8,7419,chr12:q-arm,47,78
168,b2afded4-28a8-432d-8464-ac6a58e1327b,11703,chr14:p-arm,6056,3695
169,f3987dc0-fe84-40d3-87e8-7aa1a13aa50f,24309,chr14:q-arm,13957,6199
170,799bf76c-e220-452b-8488-b9fcee5db2cd,43372,chr13:p-arm,17157,5956
172,88e20562-8b66-44d0-8a84-577cdd3a318c,7009,chr5:p-arm,3960,2092
173,cfcd596a-7b07-4270-a749-954f0f338343,12811,chr20:p-arm,7947,2731
174,8041ec19-44f5-418b-b42a-1cc6661351bc,4188,chr11:q-arm,46,132
176,0392b52c-2ca5-4170-b945-c67436f3e7ff,3344,chr19:p-arm,1147,2068
177,10eadfa3-b380-4858-919c-3d21c6b7f20e,10603,chr6:p-arm,55,84
178,8bb58252-9b25-4a59-a4dc-b8be793a9656,9588,chr12:q-arm,80,104
179,d25a4ee6-77f2-4141-8ef5-ba7cf5195754,3056,chr14:q-arm,63,140
180,ddd85e43-93af-48b4-a051-964ae59a8bd0,13093,chr22:q-arm,8640,2847
181,20adc4a0-cafa-4875-ac5c-7b049e591dcf,8207,chr19:p-arm,1799,6287
182,1898e256-fed4-4aad-b771-598260375943,18493,chr14:q-arm,6525,7275
183,c9dc1f19-68ee-49c3-bc9d-7debaf1786a5,39823,chr21:q-arm,27608,5878
184,c75daa31-00f6-4511-8272-0c258d2943fa,1266,chrX:p-arm,42,1104
185,b7d36903-5c3d-45a2-bb0d-46711a7abc4d,24557,chr20:p-arm,14911,7006
186,4bb83676-b602-40e8-b335-e1742cfe5821,5588,chr3:q-arm,927,4270
187,03467e3b-aa5e-4084-b2e8-2050fdbaf71d,5523,chr19:p-arm,1017,3747
188,fcfa5f4d-3536-46c3-b10a-74a93d03e7ce,62703,chr1:q-arm,49540,3552
189,5653cc51-63b6-467f-bc40-bcc3f7a7ec2e,9823,chrX:q-arm,1165,8036
190,928d25e0-3acd-4257-bac2-ad697a0d096f,53671,chr2:p-arm,39532,8542
191,7a686a6d-bd4b-4017-b9c3-77b5137eacdf,42695,chr2:q-arm,20254,4510
192,ce6a4184-e3d6-4f74-8d2e-08d936362762,1225,chr19:q-arm,84,144
193,63aaf28b-b016-45e1-a751-c14792f7df57,1314,chr21:p-arm,46,1148
194,44815b00-5adc-4acb-adfe-a04d1c9c3fd4,10589,chr19:q-arm,40,168
195,9dbc6c64-69e1-4d75-9442-230b5acdcc3b,3076,chr19:q-arm,93,1951
196,92e89934-9b01-414a-97c2-e085be9d7cfc,6729,chr12:p-arm,1784,4585
197,ef32154f-6087-4b27-8f14-7e8bb33e6018,10257,chr12:q-arm,3203,7198
198,b46412fd-ec3e-4065-89d6-ac03e0519f3b,12923,chr17:q-arm,6861,2883
199,df6276f4-fccd-41ff-995c-b7d0fc45c001,7061,chr11:q-arm,957,5296
200,51139c50-6e45-4692-837a-c93477e0b5f8,9189,chr15:q-arm,1208,7343
202,878a2f43-f9b4-4f9f-ae58-2929ae33f9f4,1087,chr19:q-arm,92,122
203,b4d43dfb-1639-4d7f-840c-e56820bd8d68,15851,chrX:q-arm,65,60
204,2663965f-0751-48e3-8af7-19c4acd088f0,11495,chr20:p-arm,52,116
205,face5f82-059e-4eaa-89f6-96ef92ddad47,29301,chr20:p-arm,17706,7963
206,789efb5a-ac1c-4ef8-a3b9-f9e14e08105c,39364,chr6:p-arm,29036,5397
207,6ec428ab-91e0-473a-8cf6-6c70eff6c3ef,34753,chr1:p-arm,23571,4204
208,3f3ea8c0-8566-4942-b8d9-b11045c0d89c,12986,chr1:q-arm,6475,5087
209,f66031ef-a757-437d-a452-b453624603e6,9408,chr9:p-arm,1429,7426
210,2624260a-4144-4676-b2cf-c0a087921aa7,36479,chr13:q-arm,22604,9472
211,c6977b17-6a50-4724-9098-53ae15bc4915,21176,chr13:p-arm,11815,6126
212,b11a52de-2b90-4f70-8735-fa0061389d42,42672,chr20:p-arm,26330,5414
213,93905183-ea96-4531-91b4-5da4d8eaedf1,34568,chr7:p-arm,19624,6658
214,45f2b627-519a-4c07-a614-b1e99b8b0fb8,20524,chr9:p-arm,139,72
215,5e615bce-9d53-4312-a6d1-f0d3f3c8418b,11473,chr11:q-arm,4420,5464
216,f983a5ed-1f0b-46fe-bb45-ca32a8e02c52,4077,chr6:p-arm,1019,2716
217,b88d5944-9945-47fc-b07b-059796cca1de,1626,chr7:q-arm,52,1468
218,a4db150e-2d4f-4f84-92ff-b76aafd027e4,6289,chr19:p-arm,2923,3028
219,310a5e29-1c6f-4c83-b8d4-dcdb7c196666,9167,chr9:p-arm,830,7554
220,ead9a546-658f-401e-ac3c-4cb25d457399,47860,chr5:p-arm,32149,9489
221,ffa94c5a-ed4c-49dc-be94-f4a8171e5687,2593,chr3:p-arm,1042,255
223,5a14d13d-2375-4d7b-b6fe-986bd66c0f88,29822,chr12:q-arm,23183,5012
224,38da1200-88f8-4dd2-af9e-214fcabcbf44,13245,chr13:q-arm,8261,3220
225,19182079-7201-4f84-b6bd-7533389d2787,22468,chr7:p-arm,13264,7767
228,3bb9e5d9-ab89-47ea-a2ec-d2b48689eeb9,2364,chr15:q-arm,106,1540
229,911e6b99-dca9-417e-8df1-fbb350e79d18,11328,chr15:p-arm,4281,5965
230,6206fc36-79ff-4d5d-b56b-b78a7b85cf8a,3287,chr12:q-arm,181,2832
231,6a8ab5b4-45b7-4faa-9a1b-b6e8347e9e6e,18823,chr15:q-arm,8582,8443
232,3551c19e-bd2d-4ce7-9bae-5110c475fdb4,28066,chr7:q-arm,14774,9119
233,501bd0e0-b8a5-4472-a110-d64e9a3434b6,10219,chr3:q-arm,942,8746
235,020e9c71-679d-4521-8722-621d2b97ef3f,8561,chr9:p-arm,1381,6958
236,791e81d5-8171-4475-a5bd-95ce3efc5716,20516,chr16:q-arm,13987,4123
237,d8b64614-d9b1-44df-be59-ba4916c2a114,12564,chr7:p-arm,9271,1269
238,44ffb880-77f9-48cb-91f8-d22679f9672f,17893,chr6:p-arm,10455,5617
239,3527bc15-1cd8-4581-a76a-5415e8f610ee,11211,chr11:q-arm,5209,4772
241,68c3f80b-546b-450e-8545-dc29a9181dc8,2368,chr9:p-arm,240,1188
242,b3f6d19d-74ac-4313-b173-fe5127dd398a,20527,chr16:q-arm,54,66
243,b06c107a-73af-4ffb-84f1-3da1c5b666b6,42535,chr18:q-arm,26888,4537
246,dcea195d-8fed-415c-a567-bb6c5efd8344,35285,chr17:p-arm,20647,6754
247,4039be20-5852-442d-9aca-e238b3461618,4956,chrX:p-arm,59,4795
248,6f8c220f-ba9b-4420-a5b6-86bd5d75ebed,24336,chr6:q-arm,11843,10423
249,bf8a8f0d-b00b-429a-8a7c-8bce68d023ca,8133,chr21:p-arm,5922,1224
250,38d874e1-06ab-4b33-b527-744be5475c2c,12841,chr19:q-arm,5819,6058
251,445edc9b-384d-4448-a018-8ed8c1fcb1ad,45542,chrX:q-arm,36857,933
254,8c1bc208-0673-4b16-9ac4-6cf963583916,42360,chr6:q-arm,30368,5284
255,276a72e7-9d0e-4411-bcfa-6ba0e8f1612c,21740,chr8:p-arm,16544,846
256,db5397e7-10cf-4a3f-b850-d80fed8567c5,17198,chr4:p-arm,10458,4810
257,1d42c31b-04a4-4353-965f-925f871453f6,4276,chr20:p-arm,69,117
258,68869106-428b-4944-885d-17d348d555ab,30617,chr4:p-arm,18936,6210
260,4feeccff-8c73-4f36-8744-cc1f3de09e66,13560,chr9:q-arm,9508,2035
261,0911d4e2-c4e2-4168-86c8-8afc3f8fa01f,2525,chr19:q-arm,101,1224
262,356bdd6a-25d1-45cd-bfed-f97ae82533cb,4661,chr10:p-arm,603,104
263,d94b3a9a-a068-47e9-9494-7adc618fdf5d,2749,chr19:q-arm,101,1436
264,3bb35918-c044-4e6e-91f9-aaa09cbdf42b,25909,chr4:q-arm,14627,7608
265,92691d3d-8372-4504-a12a-ade08e6dc965,29598,chr14:p-arm,13736,5362
266,47823049-85be-46de-9f94-e52ca6ac19a8,9209,chrX:q-arm,1521,7315
267,33364a18-c598-486e-aff4-d8ae00142513,1648,chr19:q-arm,56,427
268,8ab39905-4d81-4694-b87c-22ef421b4a31,30842,chr11:p-arm,60,198
270,afcb0762-df04-496f-ab02-88f1757e9fcc,4432,chr3:p-arm,501,3382
271,af0e80e9-6589-42d6-8597-f09643a65ca7,4214,chr19:q-arm,78,2897
272,ddbdc13c-6619-41ad-b1f4-53cf4ed3c3b5,19739,chr14:p-arm,10849,4587
273,f1a72c66-7398-4172-8ae2-7c44c5f1fce2,9028,chr11:q-arm,4117,2655
274,a9175325-634a-4a1f-b827-49c553fe8207,5306,chr19:q-arm,118,4341
275,aa23e207-4c55-4ed9-b463-3c6c5f04f289,19828,chr18:p-arm,8231,8971
276,ffe78adb-db9d-488e-aa56-cfc794b03b25,6206,chr19:q-arm,107,6041
277,99eab5c9-4951-41b2-9ee3-28b51d30494e,45695,chr14:p-arm,31160,10079
278,6405e9a1-bfae-4d47-82d5-ec3272185f21,35673,chr17:q-arm,25542,5347
279,0bfb935a-79c9-46a1-b144-30e434ff506f,27891,chr12:q-arm,20912,5055
280,a1c81a2c-09e7-4fcf-8a65-7f903d679399,7594,chr12:p-arm,1409,5524
282,53b4d4a2-4f24-4a76-9d57-772be79316dc,3177,chrX:p-arm,54,3016
283,559c33f0-5e78-435d-a677-3dee015633ed,7991,chr10:q-arm,4422,2222
284,f9dbd6c6-aabe-4ba2-b147-ac4b4908bc30,25038,chr14:q-arm,14313,7344
285,ed9ed243-624a-4a26-adb9-4b32d2c7aa7d,3755,chr3:p-arm,80,3586
286,2201c5dc-d20f-4a1e-9eb7-48cd1d754823,11370,chr17:p-arm,4195,5980
288,a485b1d5-7c1f-44cf-b945-92be9c781214,45309,chr18:q-arm,27760,7182
289,17e0b091-ef7d-4dc5-a8e4-9572b615d8f0,9216,chr4:p-arm,2201,6496
290,a4905b3f-b734-4a22-b409-991aeeba9952,20825,chr10:p-arm,10971,7814
291,11e6e9ae-787c-4ea8-b3b6-d253e02770e2,2088,chr19:q-arm,66,759
292,ec93113d-bdd2-4828-bf4c-836b977c0fcd,14478,chr12:q-arm,42,120
293,1275b17e-83fd-4522-8619-202e69ae31d4,1509,chr20:p-arm,85,96
294,fdb6fd8f-31e0-40a6-9e24-c06b46d4f0d1,2880,chr19:p-arm,1345,1061
295,7b92a4cc-03fb-4ee9-904e-45f05dee573f,3679,chr1:q-arm,448,2852
296,94c3728a-515b-4ca4-b0db-a5ac0a9a7fc8,3543,chr3:q-arm,943,116
297,ef38f436-70b7-4d0e-bdcb-466df34d5926,1776,chr3:q-arm,689,557
298,6736e804-d663-4f0e-b49f-368261aae686,14081,chr13:q-arm,6928,4974
299,50501996-611b-4c91-885e-fca669a739a0,25190,chr14:q-arm,15184,7020
300,afdca86f-0f03-4c0d-90f7-c44cc59e6c63,38329,chr3:p-arm,24385,7932
301,2c410e2c-9199-4fa5-8074-5b30dc00787d,19178,chr22:q-arm,11081,4172
302,72ed968f-aa2c-48b0-ba46-e136ea469e4b,1197,chr19:q-arm,100,352
303,3d65bcaa-5b2d-4fdf-8583-37ce4b147f1d,4726,chr19:q-arm,89,3695
305,6f86063b-9e98-49a6-829a-dc8b77147190,2282,chrX:p-arm,69,1355
306,0a6cd3da-5583-4fbd-800c-d44398fa4cc8,11779,chrX:q-arm,1359,9960
307,aef0ef27-3cfd-47aa-b5eb-b370833c10c4,51189,chr22:p-arm,32802,13982
308,b18584d8-4809-423b-8eae-d84211486b1d,16130,chr1:p-arm,9045,4606
309,d3478eb0-0091-462b-982f-d36602a28865,5825,chr19:p-arm,1564,4033
310,48ed073c-54d5-4c04-bb32-b62d384ab07a,5962,chr19:q-arm,100,4640
311,d8ebfb7a-b1b1-414f-914c-20081ba38c45,36498,chrX:q-arm,247,36
312,6191f7ee-30f0-4d72-a785-48291604d55f,23093,chr2:p-arm,16214,1174
313,66caa7f1-c412-440e-a678-3274ccd1ad2c,21177,chr5:p-arm,7988,12287
314,99a77475-6a3e-4e32-90eb-10e27162aeae,15925,chr2:p-arm,5077,7987
315,17514640-9357-4f79-bfc5-d1b2ef5f173a,7214,chrX:q-arm,1288,5393
316,60ff17fd-6362-40e4-8444-81f87761f19a,6632,chr19:q-arm,86,5299
317,5888eef7-ebda-45ee-ac48-5e80a1070b8b,13184,chr8:q-arm,6118,6844
318,e1dfd12e-a07c-4aae-80b2-df70318bd710,11827,chrX:p-arm,40,138
319,710a3ef6-29c4-4ef9-aa8c-e4711cef0e10,8067,chrX:q-arm,3329,4153
320,fa24d80a-8fb9-4430-b097-a24fe88804cd,17709,chr4:p-arm,10071,4875
321,788a7b05-e44c-4e96-a1c2-35d8aa35f6cb,11101,chr16:q-arm,5928,3548
322,a21c2623-96fe-470a-802a-cca26ec4327f,6209,chr6:p-arm,1079,4744
323,aeca2b2e-92e0-441d-b939-8e66e4291071,7675,chr3:q-arm,1128,6202
324,dd9f2784-bbd3-4502-9c11-2fea5f411596,22156,chr22:p-arm,14579,2626
325,abf877b7-a030-47dc-879c-c337c2e86098,9230,chr22:q-arm,601,7820
327,5743c0a9-f9b2-4589-af27-74490a142592,11327,chr7:q-arm,2749,7622
328,e6204304-876f-4a5c-8f3f-3ef9c91fa5e1,23164,chr14:p-arm,9640,12165
329,ac885a9b-3def-406b-aae0-3dd66c9fe30c,14324,chr1:q-arm,193,42
330,8a72fe62-9c2d-4578-94c0-b8656fcb03e4,8502,chr16:p-arm,1278,7026
331,15bfa1d1-7493-4d55-8bd6-3c4a7bd9840b,2877,chr19:q-arm,111,2282
333,f7918c03-6a02-42f0-b5d7-772355fecc96,8494,chr18:q-arm,3657,4142
334,3c7d274f-9c91-454f-ad36-f7182ebf9de2,6783,chr22:q-arm,2263,3671
335,cc9e2548-4963-4b87-a769-d94347cf97a8,7113,chr2:q-arm,670,6029
336,c7994500-b1a7-4a31-904c-e5f31be3dfbf,26132,chr19:q-arm,20352,2758
337,cf5bfce1-ccd5-4e77-988b-bc5a0bfee175,16741,chr3:p-arm,9722,5589
338,58d97939-d035-4a99-b668-6544e65068c4,6073,chr19:p-arm,897,4702
339,d3b0810d-758d-4b95-b235-d5747dd6d6b9,19536,chr14:q-arm,13219,4466
340,b5dea7ec-e1f1-4323-b9bb-157ad19c344a,2495,chr19:q-arm,101,1339
341,24d89cca-f63c-4254-9143-0d9c485740dd,6841,chr14:p-arm,2120,4090
